Name,State,Prog Length,School Type,2013_DRate,2012_DRate,2011DRate
WEST HILLS COMMUNITY COLLEGE,CA,5,1,23.4,29.1,23
UNIVERSAL CAREER SCHOOL,FL,5,3,23.4,23.6,13.8
ERWIN TECHNICAL COLLEGE,FL,4,1,23.4,24.2,24.2
RAINY RIVER COMMUNITY COLLEGE,MN,5,1,23.4,33.6,25.4
EASTERN WEST VIRGINIA COMMUNITY & TECHNICAL COLLEGE,WV,5,1,23.4,35.5,21
EXPERTISE COSMETOLOGY INSTITUTE,NV,3,2,23.3,23.9,27.8
MEMPHIS INSTITUTE OF BARBERING,TN,3,3,23.3,42.1,44.7
GRAND RAPIDS COMMUNITY COLLEGE,MI,5,1,23.2,24.6,26.4
FLORIDA CAREER COLLEGE,FL,5,3,23.2,21.3,19.2
COMMUNITY COLLEGE OF DENVER,CO,6,1,23.2,27.9,30.8
CENTRAL ARIZONA COLLEGE,AZ,5,1,23.2,24.4,22.6
WEST VIRGINIA NORTHERN COMMUNITY COLLEGE,WV,5,1,23.2,28.8,33.7
NORTHEAST TEXAS COMMUNITY COLLEGE,TX,5,1,23.2,28.4,22
NEW YORK AUTOMOTIVE & DIESEL INSTITUTE,NY,4,3,23.2,21.3,23.2
ELMIRA BUSINESS INSTITUTE,NY,5,3,23.2,19.6,20.8
NASH COMMUNITY COLLEGE,NC,5,1,23.2,23.8,0
DIAMONDS COSMETOLOGY COLLEGE,TX,3,3,23.2,18.1,33.3
UNIVERSITY OF RIO GRANDE,OH,8,2,23.1,20.4,21
BRANFORD HALL CAREER INSTITUTE,NJ,3,3,23.1,16.4,13.7
NORTHEASTERN OKLAHOMA A & M COLLEGE,OK,5,1,23.1,22,24.8
LOWER COLUMBIA COLLEGE,WA,5,1,23.1,25.4,24.7
OGEECHEE TECHNICAL COLLEGE,GA,5,1,23.1,41.3,0
NORTH AMERICAN TRADE SCHOOLS,MD,3,3,23.1,25,28
FRANK PHILLIPS COLLEGE,TX,5,1,23.1,26.4,29.8
NORTH IDAHO COLLEGE,ID,5,1,23,21.8,22.5
INDIAN HILLS COMMUNITY COLLEGE,IA,5,1,23,24.6,29.7
TRINITY VALLEY COMMUNITY COLLEGE,TX,5,1,23,23.5,21.8
HOPKINSVILLE COMMUNITY COLLEGE,KY,5,1,23,20.4,17.7
KISHWAUKEE COLLEGE,IL,5,1,23,19,20.7
OGLE SCHOOL HAIR SKIN NAILS,TX,3,3,23,26,24.7
EDWARD WATERS COLLEGE,FL,6,2,23,23.6,25.8
ASSOCIATED TECHNICAL COLLEGE,CA,3,3,23,26.8,31.5
JNA INSTITUTE OF CULINARY ARTS,PA,5,3,23,19.2,14.5
TOTAL IMAGE BEAUTY ACADEMY,NJ,3,3,23,16.6,33.3
FLORENCE - DARLINGTON TECHNICAL COLLEGE,SC,5,1,22.9,22,22.3
CAPE FEAR COMMUNITY COLLEGE,NC,5,1,22.9,22.2,23.6
ANTONELLI COLLEGE,OH,5,3,22.9,18,22.8
WICHITA TECHNICAL INSTITUTE,KS,5,3,22.9,20.3,14.4
EASTERN OKLAHOMA STATE COLLEGE,OK,5,1,22.9,25.9,25.4
COLLEGE OF THE SISKIYOUS,CA,5,1,22.9,28.4,29.4
OMNITECH INSTITUTE,GA,3,3,22.9,26,24.9
AVEDA INSTITUTE LAS VEGAS,NV,3,3,22.9,22.2,25
OZARKS TECHNICAL COMMUNITY COLLEGE,MO,5,1,22.8,21.1,22.3
BOSSIER PARISH COMMUNITY COLLEGE,LA,5,1,22.8,21.2,24.7
